key	EN	RU	DE
boq.add_child_position	Add Child Partida	Добавить подпозицию	Unterposition hinzufügen
boq.add_sub_section	Add Sub-section	Добавить подраздел	Unterabschnitt hinzufügen
boq.ai_no_answer	The assistant did not return an answer. Please rephrase or try again.‌⁠‍	Ассистент не вернул ответ. Переформулируйте запрос или повторите попытку.	Der Assistent hat keine Antwort zurückgegeben. Bitte umformulieren oder erneut versuchen.
boq.compare_added	Added	Добавлено	Hinzugefügt
boq.compare_against	Compare against	Сравнить с	Vergleichen mit
boq.compare_btn	Compare	Сравнить	Vergleichen
boq.compare_btn_hint	Compare this estimate against another BOQ	Сравнить эту смету с другой ведомостью	Dieses LV mit einem anderen vergleichen
boq.compare_col_delta	Δ base	Δ базы	Δ Basis
boq.compare_col_line	Line	Строка	Zeile
boq.compare_col_qty	Qty	Кол-во	Menge
boq.compare_col_rate	Rate	Цена	EP
boq.compare_error	Could not compare these BOQs.	Не удалось сравнить эти ведомости.	Diese LVs konnten nicht verglichen werden.
boq.compare_hide_unchanged	Hide unchanged lines	Скрыть неизменённые строки	Unveränderte Zeilen ausblenden
boq.compare_no_diff	No differences between these BOQs.	Различий между этими ведомостями нет.	Keine Unterschiede zwischen diesen LVs.
boq.compare_pick	— Select a BOQ —	— Выберите ведомость —	— LV auswählen —
boq.compare_qty	Qty	Кол-во	Menge
boq.compare_rate	Rate	Цена	EP
boq.compare_removed	Removed	Удалено	Entfernt
boq.compare_select_hint	Pick another BOQ above to see a line-by-line diff.	Выберите другую ведомость выше, чтобы увидеть построчное сравнение.	Wählen Sie oben ein weiteres LV, um einen zeilenweisen Vergleich zu sehen.
boq.compare_unchanged	Unchanged	Без изменений	Unverändert
boq.compare_ct_added	Added	Добавлено	Hinzugefügt
boq.compare_ct_removed	Removed	Удалено	Entfernt
boq.compare_ct_qty_changed	Qty	Кол-во	Menge
boq.compare_ct_rate_changed	Rate	Цена	EP
boq.compare_ct_changed	Changed	Изменено	Geändert
boq.compare_ct_unchanged	Unchanged	Без изменений	Unverändert
boq.model_link_action	Model link…	Связь с моделью…	Modellverknüpfung…
boq.model_link_aggregation	Aggregation	Агрегация	Aggregation
boq.model_link_agg_sum	Sum	Сумма	Summe
boq.model_link_agg_max	Max	Макс	Max
boq.model_link_agg_min	Min	Мин	Min
boq.model_link_agg_count	Count	Количество	Anzahl
boq.model_link_agg_first	First	Первый	Erster
boq.model_link_create	Create link	Создать связь	Verknüpfung anlegen
boq.model_link_created	Model link created	Связь с моделью создана	Modellverknüpfung angelegt
boq.model_link_created_hint	The quantity is not changed yet — use “Refresh from model” then Apply to pull it in.	Объём ещё не обновлён — используйте «Обновить из модели», затем Применить, чтобы подтянуть его.	Die Menge wurde noch nicht aktualisiert — nutzen Sie „Aus Modell aktualisieren“ und dann Übernehmen, um sie zu übernehmen.
boq.model_link_delete	Delete link	Удалить связь	Verknüpfung löschen
boq.model_link_delete_failed	Could not remove model link	Не удалось удалить связь с моделью	Modellverknüpfung konnte nicht entfernt werden
boq.model_link_deleted	Model link removed	Связь с моделью удалена	Modellverknüpfung entfernt
boq.model_link_elem_count	{{count}} element(s)	{{count}} элемент(ов)	{{count}} Element(e)
